equation,operand_1,operation,operand_2,answer
619-421=198,619,-,421,198
662-199=463,662,-,199,463
472+512=984,472,+,512,984
456+750=1206,456,+,750,1206
119+73=192,119,+,73,192
556-510=46,556,-,510,46
554+548=1102,554,+,548,1102
548-303=245,548,-,303,245
726-556=170,726,-,556,170
958+38=996,958,+,38,996
494+308=802,494,+,308,802
832-155=677,832,-,155,677
827+126=953,827,+,126,953
919-750=169,919,-,750,169
779-604=175,779,-,604,175
23-20=3,23,-,20,3
868+107=975,868,+,107,975
958-46=912,958,-,46,912
980-142=838,980,-,142,838
494-433=61,494,-,433,61
316+312=628,316,+,312,628
971-98=873,971,-,98,873
283-86=197,283,-,86,197
63+29=92,63,+,29,92
487+488=975,487,+,488,975
714-107=607,714,-,107,607
550+697=1247,550,+,697,1247
274-126=148,274,-,126,148
192-15=177,192,-,15,177
848-534=314,848,-,534,314
943+68=1011,943,+,68,1011
402-87=315,402,-,87,315
724-72=652,724,-,72,652
793+153=946,793,+,153,946
970-916=54,970,-,916,54
925-321=604,925,-,321,604
961-536=425,961,-,536,425
838-45=793,838,-,45,793
961+707=1668,961,+,707,1668
633+848=1481,633,+,848,1481
920-266=654,920,-,266,654
892-310=582,892,-,310,582
675-90=585,675,-,90,585
67+495=562,67,+,495,562
922-860=62,922,-,860,62
556-551=5,556,-,551,5
386+487=873,386,+,487,873
663-165=498,663,-,165,498
794-183=611,794,-,183,611
24+448=472,24,+,448,472
901-467=434,901,-,467,434
506+391=897,506,+,391,897
676-578=98,676,-,578,98
579-438=141,579,-,438,141
810-136=674,810,-,136,674
880+819=1699,880,+,819,1699
465+879=1344,465,+,879,1344
495+877=1372,495,+,877,1372
856-849=7,856,-,849,7
390-299=91,390,-,299,91
638-237=401,638,-,237,401
336+101=437,336,+,101,437
968-965=3,968,-,965,3
966-583=383,966,-,583,383
401-396=5,401,-,396,5
937+687=1624,937,+,687,1624
79+529=608,79,+,529,608
515-444=71,515,-,444,71
453+277=730,453,+,277,730
399-58=341,399,-,58,341
977-762=215,977,-,762,215
828-604=224,828,-,604,224
81-49=32,81,-,49,32
832+295=1127,832,+,295,1127
826+969=1795,826,+,969,1795
879-113=766,879,-,113,766
72+485=557,72,+,485,557
763+7=770,763,+,7,770
563+402=965,563,+,402,965
549-5=544,549,-,5,544
219+37=256,219,+,37,256
435+164=599,435,+,164,599
449+509=958,449,+,509,958
635-509=126,635,-,509,126
713+151=864,713,+,151,864
211-82=129,211,-,82,129
494-487=7,494,-,487,7
842-216=626,842,-,216,626
881+825=1706,881,+,825,1706
422-244=178,422,-,244,178
304+662=966,304,+,662,966
234+975=1209,234,+,975,1209
764+248=1012,764,+,248,1012
114+85=199,114,+,85,199
905-502=403,905,-,502,403
137+858=995,137,+,858,995
133-28=105,133,-,28,105
990-119=871,990,-,119,871
511+782=1293,511,+,782,1293
846+218=1064,846,+,218,1064
3+329=332,3,+,329,332
518-306=212,518,-,306,212
568-274=294,568,-,274,294
931-764=167,931,-,764,167
164+534=698,164,+,534,698
817-816=1,817,-,816,1
196+993=1189,196,+,993,1189
836+147=983,836,+,147,983
540-277=263,540,-,277,263
721-297=424,721,-,297,424
969+527=1496,969,+,527,1496
963-946=17,963,-,946,17
899-530=369,899,-,530,369
965-580=385,965,-,580,385
543-540=3,543,-,540,3
687-542=145,687,-,542,145
616-99=517,616,-,99,517
253-247=6,253,-,247,6
546-361=185,546,-,361,185
900+872=1772,900,+,872,1772
565-289=276,565,-,289,276
267-120=147,267,-,120,147
38+296=334,38,+,296,334
413+861=1274,413,+,861,1274
457+94=551,457,+,94,551
61-61=0,61,-,61,0
764+990=1754,764,+,990,1754
859-225=634,859,-,225,634
639+10=649,639,+,10,649
148+12=160,148,+,12,160
619-559=60,619,-,559,60
620+839=1459,620,+,839,1459
444-436=8,444,-,436,8
546+879=1425,546,+,879,1425
990-981=9,990,-,981,9
177-175=2,177,-,175,2
514+995=1509,514,+,995,1509
388+320=708,388,+,320,708
725-716=9,725,-,716,9
106+485=591,106,+,485,591
973+502=1475,973,+,502,1475
359-351=8,359,-,351,8
699-681=18,699,-,681,18
867-836=31,867,-,836,31
881-123=758,881,-,123,758
283+794=1077,283,+,794,1077
344+307=651,344,+,307,651
865-859=6,865,-,859,6
758-739=19,758,-,739,19
288+543=831,288,+,543,831
62+402=464,62,+,402,464
604+572=1176,604,+,572,1176
24+61=85,24,+,61,85
67+170=237,67,+,170,237
963-239=724,963,-,239,724
636-428=208,636,-,428,208
309+404=713,309,+,404,713
50+393=443,50,+,393,443
163-90=73,163,-,90,73
984-804=180,984,-,804,180
622-182=440,622,-,182,440
135-116=19,135,-,116,19
959-894=65,959,-,894,65
684-646=38,684,-,646,38
845-706=139,845,-,706,139
823-330=493,823,-,330,493
127+797=924,127,+,797,924
170+633=803,170,+,633,803
955-518=437,955,-,518,437
91-69=22,91,-,69,22
5+711=716,5,+,711,716
847-318=529,847,-,318,529
886-418=468,886,-,418,468
161+872=1033,161,+,872,1033
627-625=2,627,-,625,2
81+479=560,81,+,479,560
67+10=77,67,+,10,77
686+93=779,686,+,93,779
996-80=916,996,-,80,916
533+957=1490,533,+,957,1490
444+903=1347,444,+,903,1347
535-260=275,535,-,260,275
603-506=97,603,-,506,97
783+352=1135,783,+,352,1135
934-727=207,934,-,727,207
565-424=141,565,-,424,141
407-67=340,407,-,67,340
870+656=1526,870,+,656,1526
765-677=88,765,-,677,88
681-404=277,681,-,404,277
193+838=1031,193,+,838,1031
893+274=1167,893,+,274,1167
875-451=424,875,-,451,424
858-137=721,858,-,137,721
602-595=7,602,-,595,7
963+912=1875,963,+,912,1875
837-29=808,837,-,29,808
830+723=1553,830,+,723,1553
726-626=100,726,-,626,100
768+136=904,768,+,136,904
806+127=933,806,+,127,933
938-856=82,938,-,856,82
713-366=347,713,-,366,347
767+940=1707,767,+,940,1707
19+669=688,19,+,669,688
103+120=223,103,+,120,223
865-159=706,865,-,159,706
717-270=447,717,-,270,447
584-206=378,584,-,206,378
554+613=1167,554,+,613,1167
983+849=1832,983,+,849,1832
512-422=90,512,-,422,90
451-110=341,451,-,110,341
8+81=89,8,+,81,89
963+60=1023,963,+,60,1023
408+357=765,408,+,357,765
467+658=1125,467,+,658,1125
533+986=1519,533,+,986,1519
601+753=1354,601,+,753,1354
628-338=290,628,-,338,290
826-818=8,826,-,818,8
925-400=525,925,-,400,525
757+621=1378,757,+,621,1378
37+262=299,37,+,262,299
831-379=452,831,-,379,452
456-74=382,456,-,74,382
864+40=904,864,+,40,904
627-554=73,627,-,554,73
770+907=1677,770,+,907,1677
474-412=62,474,-,412,62
973+733=1706,973,+,733,1706
524-90=434,524,-,90,434
447-15=432,447,-,15,432
973-724=249,973,-,724,249
876+234=1110,876,+,234,1110
301-125=176,301,-,125,176
618+853=1471,618,+,853,1471
367-83=284,367,-,83,284
597-121=476,597,-,121,476
608-359=249,608,-,359,249
545+990=1535,545,+,990,1535
723-102=621,723,-,102,621
909-904=5,909,-,904,5
591-367=224,591,-,367,224
887-70=817,887,-,70,817
643-172=471,643,-,172,471
726+163=889,726,+,163,889
878+695=1573,878,+,695,1573
532+177=709,532,+,177,709
62-54=8,62,-,54,8
466-458=8,466,-,458,8
724+590=1314,724,+,590,1314
348-95=253,348,-,95,253
767-716=51,767,-,716,51
555+717=1272,555,+,717,1272
963+497=1460,963,+,497,1460
764-754=10,764,-,754,10
979-305=674,979,-,305,674
734+257=991,734,+,257,991
538+507=1045,538,+,507,1045
695+431=1126,695,+,431,1126
647+425=1072,647,+,425,1072
606+433=1039,606,+,433,1039
294-286=8,294,-,286,8
317+253=570,317,+,253,570
596-594=2,596,-,594,2
746-651=95,746,-,651,95
475+422=897,475,+,422,897
921-580=341,921,-,580,341
521+600=1121,521,+,600,1121
876-544=332,876,-,544,332
652+766=1418,652,+,766,1418
352-351=1,352,-,351,1
19+800=819,19,+,800,819
685+79=764,685,+,79,764
847-66=781,847,-,66,781
450+983=1433,450,+,983,1433
794+451=1245,794,+,451,1245
86+200=286,86,+,200,286
813-117=696,813,-,117,696
548-494=54,548,-,494,54
245+13=258,245,+,13,258
582-567=15,582,-,567,15
115+641=756,115,+,641,756
143+340=483,143,+,340,483
954-901=53,954,-,901,53
914+255=1169,914,+,255,1169
778+999=1777,778,+,999,1777
591+140=731,591,+,140,731
231+40=271,231,+,40,271
757-431=326,757,-,431,326
25+14=39,25,+,14,39
730-542=188,730,-,542,188
939+776=1715,939,+,776,1715
438+943=1381,438,+,943,1381
961+628=1589,961,+,628,1589
69-30=39,69,-,30,39
278+641=919,278,+,641,919
994-584=410,994,-,584,410
956-582=374,956,-,582,374
665+800=1465,665,+,800,1465
186+638=824,186,+,638,824
632+345=977,632,+,345,977
774-588=186,774,-,588,186
559+791=1350,559,+,791,1350
245+874=1119,245,+,874,1119
542+958=1500,542,+,958,1500
686-116=570,686,-,116,570
412-407=5,412,-,407,5
798-753=45,798,-,753,45
789+562=1351,789,+,562,1351
150-150=0,150,-,150,0
491+64=555,491,+,64,555
292+590=882,292,+,590,882
935+635=1570,935,+,635,1570
207+693=900,207,+,693,900
263+20=283,263,+,20,283
14+26=40,14,+,26,40
30+416=446,30,+,416,446
391-379=12,391,-,379,12
731+265=996,731,+,265,996
896-525=371,896,-,525,371
902+770=1672,902,+,770,1672
621-185=436,621,-,185,436
342-342=0,342,-,342,0
746+231=977,746,+,231,977
342+783=1125,342,+,783,1125
800-758=42,800,-,758,42
167+985=1152,167,+,985,1152
448-38=410,448,-,38,410
647+986=1633,647,+,986,1633
865-846=19,865,-,846,19
840-310=530,840,-,310,530
822-276=546,822,-,276,546
376+900=1276,376,+,900,1276
397-348=49,397,-,348,49
211+315=526,211,+,315,526
903-867=36,903,-,867,36
290+310=600,290,+,310,600
990-324=666,990,-,324,666
193-153=40,193,-,153,40
450-432=18,450,-,432,18
430-355=75,430,-,355,75
383+387=770,383,+,387,770
912-813=99,912,-,813,99
224-138=86,224,-,138,86
483-401=82,483,-,401,82
105+399=504,105,+,399,504
37+62=99,37,+,62,99
832-16=816,832,-,16,816
744+989=1733,744,+,989,1733
152+961=1113,152,+,961,1113
848+689=1537,848,+,689,1537
819-226=593,819,-,226,593
691-14=677,691,-,14,677
244+663=907,244,+,663,907
50+711=761,50,+,711,761
673+98=771,673,+,98,771
57+20=77,57,+,20,77
555+574=1129,555,+,574,1129
622-610=12,622,-,610,12
81+432=513,81,+,432,513
881+678=1559,881,+,678,1559
583+408=991,583,+,408,991
720-667=53,720,-,667,53
634+941=1575,634,+,941,1575
234+253=487,234,+,253,487
156+618=774,156,+,618,774
14+41=55,14,+,41,55
296+668=964,296,+,668,964
770+234=1004,770,+,234,1004
362-139=223,362,-,139,223
277+146=423,277,+,146,423
314+591=905,314,+,591,905
597+1=598,597,+,1,598
290+612=902,290,+,612,902
781+687=1468,781,+,687,1468
148+543=691,148,+,543,691
698+485=1183,698,+,485,1183
54+25=79,54,+,25,79
252+682=934,252,+,682,934
966-227=739,966,-,227,739
820-198=622,820,-,198,622
278+81=359,278,+,81,359
712-682=30,712,-,682,30
707-389=318,707,-,389,318
16+39=55,16,+,39,55
930-893=37,930,-,893,37
57+26=83,57,+,26,83
117-95=22,117,-,95,22
326-128=198,326,-,128,198
907-362=545,907,-,362,545
270+529=799,270,+,529,799
379-377=2,379,-,377,2
69-48=21,69,-,48,21
819-224=595,819,-,224,595
983-983=0,983,-,983,0
605+966=1571,605,+,966,1571
267-207=60,267,-,207,60
167-110=57,167,-,110,57
818-717=101,818,-,717,101
87+325=412,87,+,325,412
680-622=58,680,-,622,58
520+716=1236,520,+,716,1236
865+92=957,865,+,92,957
46+44=90,46,+,44,90
814-352=462,814,-,352,462
674+889=1563,674,+,889,1563
532-358=174,532,-,358,174
51+165=216,51,+,165,216
2+8=10,2,+,8,10
642-63=579,642,-,63,579
523+286=809,523,+,286,809
3+653=656,3,+,653,656
657-155=502,657,-,155,502
29+21=50,29,+,21,50
941-891=50,941,-,891,50
310+379=689,310,+,379,689
476+380=856,476,+,380,856
37-12=25,37,-,12,25
44+14=58,44,+,14,58
121+369=490,121,+,369,490
128-66=62,128,-,66,62
589-586=3,589,-,586,3
952-36=916,952,-,36,916
313-240=73,313,-,240,73
655+120=775,655,+,120,775
223+333=556,223,+,333,556
20+551=571,20,+,551,571
963-650=313,963,-,650,313
712-513=199,712,-,513,199
15+0=15,15,+,0,15
421+754=1175,421,+,754,1175
675-349=326,675,-,349,326
833+845=1678,833,+,845,1678
606+573=1179,606,+,573,1179
223+418=641,223,+,418,641
773-767=6,773,-,767,6
790-269=521,790,-,269,521
412-401=11,412,-,401,11
598-577=21,598,-,577,21
911+25=936,911,+,25,936
763+237=1000,763,+,237,1000
310+34=344,310,+,34,344
631-249=382,631,-,249,382
702-667=35,702,-,667,35
630-552=78,630,-,552,78
972+11=983,972,+,11,983
187+228=415,187,+,228,415
515-434=81,515,-,434,81
542-51=491,542,-,51,491
350-345=5,350,-,345,5
522+585=1107,522,+,585,1107
578-485=93,578,-,485,93
996-913=83,996,-,913,83
396+873=1269,396,+,873,1269
177-137=40,177,-,137,40
407+481=888,407,+,481,888
56-52=4,56,-,52,4
304-242=62,304,-,242,62
969+734=1703,969,+,734,1703
0+93=93,0,+,93,93
709-580=129,709,-,580,129
522+435=957,522,+,435,957
527+816=1343,527,+,816,1343
784+414=1198,784,+,414,1198
818+814=1632,818,+,814,1632
254+238=492,254,+,238,492
936+716=1652,936,+,716,1652
94+630=724,94,+,630,724
685+670=1355,685,+,670,1355
207-89=118,207,-,89,118
677-616=61,677,-,616,61
967-728=239,967,-,728,239
411+771=1182,411,+,771,1182
112-96=16,112,-,96,16
630+947=1577,630,+,947,1577
87+7=94,87,+,7,94
967-424=543,967,-,424,543
70+563=633,70,+,563,633
746-345=401,746,-,345,401
433-386=47,433,-,386,47
0+7=7,0,+,7,7
734-590=144,734,-,590,144
976+159=1135,976,+,159,1135
818-613=205,818,-,613,205
669-589=80,669,-,589,80
926-900=26,926,-,900,26
270+17=287,270,+,17,287
231+94=325,231,+,94,325
670-622=48,670,-,622,48
962+208=1170,962,+,208,1170
880-23=857,880,-,23,857
506+16=522,506,+,16,522
6+513=519,6,+,513,519
910-370=540,910,-,370,540
650-483=167,650,-,483,167
895-9=886,895,-,9,886
848+650=1498,848,+,650,1498
633-161=472,633,-,161,472
916-734=182,916,-,734,182
995+873=1868,995,+,873,1868
310-310=0,310,-,310,0
430-188=242,430,-,188,242
935-121=814,935,-,121,814
177-19=158,177,-,19,158
22+74=96,22,+,74,96
824-65=759,824,-,65,759
358-36=322,358,-,36,322
575+511=1086,575,+,511,1086
600+213=813,600,+,213,813
130-93=37,130,-,93,37
915-424=491,915,-,424,491
616+68=684,616,+,68,684
700-692=8,700,-,692,8
897-249=648,897,-,249,648
701+308=1009,701,+,308,1009
941-845=96,941,-,845,96
694+7=701,694,+,7,701
647+714=1361,647,+,714,1361
618-361=257,618,-,361,257
599+618=1217,599,+,618,1217
675+989=1664,675,+,989,1664
264+384=648,264,+,384,648
21+8=29,21,+,8,29
263+285=548,263,+,285,548
709-677=32,709,-,677,32
494-36=458,494,-,36,458
242+53=295,242,+,53,295
933+628=1561,933,+,628,1561
19+6=25,19,+,6,25
918+414=1332,918,+,414,1332
857-266=591,857,-,266,591
908-701=207,908,-,701,207
652-649=3,652,-,649,3
564+390=954,564,+,390,954
623+825=1448,623,+,825,1448
704-258=446,704,-,258,446
15+68=83,15,+,68,83
497+864=1361,497,+,864,1361
692+277=969,692,+,277,969
666-160=506,666,-,160,506
422+273=695,422,+,273,695
344+279=623,344,+,279,623
500+2=502,500,+,2,502
498-259=239,498,-,259,239
879+152=1031,879,+,152,1031
117+415=532,117,+,415,532
22+509=531,22,+,509,531
803-250=553,803,-,250,553
914+108=1022,914,+,108,1022
703-61=642,703,-,61,642
350+233=583,350,+,233,583
60+805=865,60,+,805,865
860-570=290,860,-,570,290
884+698=1582,884,+,698,1582
182-6=176,182,-,6,176
333-328=5,333,-,328,5
274+759=1033,274,+,759,1033
945+119=1064,945,+,119,1064
826+935=1761,826,+,935,1761
992+537=1529,992,+,537,1529
600-600=0,600,-,600,0
860-742=118,860,-,742,118
800-188=612,800,-,188,612
468+89=557,468,+,89,557
495+385=880,495,+,385,880
378-24=354,378,-,24,354
910-559=351,910,-,559,351
684-638=46,684,-,638,46
670-139=531,670,-,139,531
888-819=69,888,-,819,69
47+51=98,47,+,51,98
899+758=1657,899,+,758,1657
914-390=524,914,-,390,524
399-280=119,399,-,280,119
326-14=312,326,-,14,312
15+44=59,15,+,44,59
104+694=798,104,+,694,798
830+483=1313,830,+,483,1313
736-454=282,736,-,454,282
538-414=124,538,-,414,124
236-227=9,236,-,227,9
24+235=259,24,+,235,259
931+543=1474,931,+,543,1474
54-47=7,54,-,47,7
930-254=676,930,-,254,676
590+372=962,590,+,372,962
170-170=0,170,-,170,0
614+220=834,614,+,220,834
51+22=73,51,+,22,73
911+748=1659,911,+,748,1659
463-237=226,463,-,237,226
494+298=792,494,+,298,792
684-497=187,684,-,497,187
992-141=851,992,-,141,851
11+78=89,11,+,78,89
223+645=868,223,+,645,868
812+361=1173,812,+,361,1173
365-85=280,365,-,85,280
920+430=1350,920,+,430,1350
431+585=1016,431,+,585,1016
346+234=580,346,+,234,580
183+454=637,183,+,454,637
48+42=90,48,+,42,90
845-545=300,845,-,545,300
246-38=208,246,-,38,208
964-886=78,964,-,886,78
237+739=976,237,+,739,976
828+237=1065,828,+,237,1065
351-268=83,351,-,268,83
819-817=2,819,-,817,2
74+810=884,74,+,810,884
18+80=98,18,+,80,98
394+20=414,394,+,20,414
481+947=1428,481,+,947,1428
221-41=180,221,-,41,180
533-441=92,533,-,441,92
522-478=44,522,-,478,44
928-920=8,928,-,920,8
134+84=218,134,+,84,218
9+608=617,9,+,608,617
937+557=1494,937,+,557,1494
836+869=1705,836,+,869,1705
935-415=520,935,-,415,520
694+967=1661,694,+,967,1661
422-39=383,422,-,39,383
988-584=404,988,-,584,404
650-434=216,650,-,434,216
732+864=1596,732,+,864,1596
471+265=736,471,+,265,736
625-299=326,625,-,299,326
841-255=586,841,-,255,586
918+759=1677,918,+,759,1677
581+579=1160,581,+,579,1160
818-651=167,818,-,651,167
602-550=52,602,-,550,52
743+693=1436,743,+,693,1436
697+896=1593,697,+,896,1593
707-698=9,707,-,698,9
861-766=95,861,-,766,95
999-191=808,999,-,191,808
115+509=624,115,+,509,624
478+127=605,478,+,127,605
185-178=7,185,-,178,7
462+776=1238,462,+,776,1238
770+156=926,770,+,156,926
527-336=191,527,-,336,191
535+156=691,535,+,156,691
158-13=145,158,-,13,145
211-202=9,211,-,202,9
569-416=153,569,-,416,153
909-545=364,909,-,545,364
370-128=242,370,-,128,242
84+386=470,84,+,386,470
144+816=960,144,+,816,960
713-210=503,713,-,210,503
967-311=656,967,-,311,656
837+188=1025,837,+,188,1025
810-302=508,810,-,302,508
730+933=1663,730,+,933,1663
490+407=897,490,+,407,897
741+723=1464,741,+,723,1464
676-673=3,676,-,673,3
283+930=1213,283,+,930,1213
516+697=1213,516,+,697,1213
598-308=290,598,-,308,290
668-207=461,668,-,207,461
549-251=298,549,-,251,298
604+227=831,604,+,227,831
26+57=83,26,+,57,83
238+33=271,238,+,33,271
798-403=395,798,-,403,395
647-33=614,647,-,33,614
354-67=287,354,-,67,287
66+328=394,66,+,328,394
55+2=57,55,+,2,57
800-507=293,800,-,507,293
895-459=436,895,-,459,436
438+39=477,438,+,39,477
746-656=90,746,-,656,90
406+626=1032,406,+,626,1032
453-398=55,453,-,398,55
191-187=4,191,-,187,4
654-296=358,654,-,296,358
838-57=781,838,-,57,781
102-9=93,102,-,9,93
845-842=3,845,-,842,3
552+24=576,552,+,24,576
411+153=564,411,+,153,564
252-165=87,252,-,165,87
886+866=1752,886,+,866,1752
865+770=1635,865,+,770,1635
872+850=1722,872,+,850,1722
666-584=82,666,-,584,82
789-251=538,789,-,251,538
813+596=1409,813,+,596,1409
23+51=74,23,+,51,74
371-189=182,371,-,189,182
492+938=1430,492,+,938,1430
71-10=61,71,-,10,61
788-195=593,788,-,195,593
195-151=44,195,-,151,44
703-584=119,703,-,584,119
523+285=808,523,+,285,808
956+427=1383,956,+,427,1383
774+515=1289,774,+,515,1289
23+339=362,23,+,339,362
168+775=943,168,+,775,943
67-61=6,67,-,61,6
23+73=96,23,+,73,96
511-395=116,511,-,395,116
950-421=529,950,-,421,529
455+31=486,455,+,31,486
830-797=33,830,-,797,33
809-667=142,809,-,667,142
789+532=1321,789,+,532,1321
150-146=4,150,-,146,4
970-119=851,970,-,119,851
836+866=1702,836,+,866,1702
926-673=253,926,-,673,253
728-728=0,728,-,728,0
26-17=9,26,-,17,9
804+635=1439,804,+,635,1439
720+432=1152,720,+,432,1152
681+720=1401,681,+,720,1401
879+823=1702,879,+,823,1702
357-21=336,357,-,21,336
359-0=359,359,-,0,359
1+665=666,1,+,665,666
39+23=62,39,+,23,62
916-841=75,916,-,841,75
474-73=401,474,-,73,401
853+948=1801,853,+,948,1801
525+480=1005,525,+,480,1005
491+849=1340,491,+,849,1340
852-382=470,852,-,382,470
543-469=74,543,-,469,74
493+709=1202,493,+,709,1202
205-93=112,205,-,93,112
940-176=764,940,-,176,764
179+86=265,179,+,86,265
280+710=990,280,+,710,990
481+992=1473,481,+,992,1473
871-379=492,871,-,379,492
630+841=1471,630,+,841,1471
486+437=923,486,+,437,923
458+896=1354,458,+,896,1354
689-629=60,689,-,629,60
985-179=806,985,-,179,806
609-33=576,609,-,33,576
475+451=926,475,+,451,926
48-46=2,48,-,46,2
